Check (release year) as well?

[18/Feb/2019 15:51:41] WARNING [MYAPP:253] Found Solar, no time recorded
[18/Feb/2019 15:51:44] WARNING [MYAPP:253] Found Groov, no time recorded
[18/Feb/2019 15:51:46] WARNING [MYAPP:253] Found Jampack Volume 13, no time recorded
[18/Feb/2019 15:51:53] WARNING [MYAPP:253] Found Dynasty Warriors Advance, no time recorded
[18/Feb/2019 15:51:54] WARNING [MYAPP:253] Found Mr Driller W, no time recorded
[18/Feb/2019 15:51:57] WARNING [MYAPP:253] Found Duel Masters: Sempai Legends, no time recorded
[18/Feb/2019 15:51:58] WARNING [MYAPP:253] Found Star Wars Battlefront, no time recorded
[18/Feb/2019 15:51:59] WARNING [MYAPP:253] Found Monolith, no time recorded
[18/Feb/2019 15:51:59] WARNING [MYAPP:253] Found Splitter Critters, no time recorded
[18/Feb/2019 15:52:03] WARNING [MYAPP:253] Found HoPiKo, no time recorded
[18/Feb/2019 15:52:06] WARNING [MYAPP:253] Found Battlesloths, no time recorded
[18/Feb/2019 15:52:08] WARNING [MYAPP:209] Found Battlesloths, not full scores
[18/Feb/2019 15:52:09] WARNING [MYAPP:253] Found Legion Saga 3, no time recorded
[18/Feb/2019 15:52:16] WARNING [MYAPP:253] Found RPG Legend of Ixtona, no time recorded
[18/Feb/2019 15:52:28] WARNING [MYAPP:253] Found Star Vikings Forever, no time recorded
[18/Feb/2019 15:52:31] WARNING [MYAPP:253] Found Bloodsports.TV, no time recorded
[18/Feb/2019 15:52:32] WARNING [MYAPP:253] Found Action Man: Search for Base X, no time recorded
[18/Feb/2019 15:53:07] WARNING [MYAPP:253] Found Move or Die, no time recorded
[18/Feb/2019 15:53:08] WARNING [MYAPP:253] Found Super Dungeon Bros, no time recorded
[18/Feb/2019 15:53:08] WARNING [MYAPP:253] Found RPG Aeon Avenger, no time recorded
[18/Feb/2019 15:53:16] WARNING [MYAPP:253] Found Sportsball, no time recorded
[18/Feb/2019 15:53:17] WARNING [MYAPP:253] Found Calculator the Game, no time recorded
[18/Feb/2019 15:53:19] WARNING [MYAPP:209] Found Calculator the Game, not full scores
[18/Feb/2019 15:53:20] WARNING [MYAPP:253] Found Bladeslinger Ep.1, no time recorded
[18/Feb/2019 15:53:24] WARNING [MYAPP:253] Found Rising Storm, no time recorded
[18/Feb/2019 15:53:25] WARNING [MYAPP:253] Found Come On! Heroes, no time recorded
[18/Feb/2019 15:53:27] WARNING [MYAPP:209] Found Come On! Heroes, not full scores
[18/Feb/2019 15:53:28] WARNING [MYAPP:253] Found BugRiders: The Race of Kings, no time recorded
[18/Feb/2019 15:53:41] WARNING [MYAPP:253] Found The Spookening, no time recorded
[18/Feb/2019 15:53:44] WARNING [MYAPP:209] Found The Spookening, not full scores
[18/Feb/2019 15:53:45] WARNING [MYAPP:253] Found Contre Jour, no time recorded
[18/Feb/2019 15:53:49] WARNING [MYAPP:253] Found Funky Smugglers, no time recorded
[18/Feb/2019 15:53:52] WARNING [MYAPP:209] Found Funky Smugglers, not full scores
[18/Feb/2019 15:53:53] WARNING [MYAPP:253] Found Raiden Legacy, no time recorded
[18/Feb/2019 15:53:57] WARNING [MYAPP:209] Found Raiden Legacy, not full scores
[18/Feb/2019 15:53:58] WARNING [MYAPP:253] Found Brain Age Express: Sudoku, no time recorded
[18/Feb/2019 15:54:00] WARNING [MYAPP:209] Found Brain Age Express: Sudoku, not full scores
[18/Feb/2019 15:54:01] WARNING [MYAPP:253] Found Midway's Greatest Arcade Hits Volume 1, no time recorded
[18/Feb/2019 15:54:05] WARNING [MYAPP:253] Found Frogger's Journey: The Forgotten Relic, no time recorded
[18/Feb/2019 15:54:06] WARNING [MYAPP:253] Found Hand Of Fate, no time recorded
[18/Feb/2019 15:54:07] WARNING [MYAPP:253] Found Time Surfer, no time recorded
[18/Feb/2019 15:54:12] WARNING [MYAPP:253] Found Bag It!, no time recorded
[18/Feb/2019 15:54:15] WARNING [MYAPP:253] Found #IDARB, no time recorded
[18/Feb/2019 15:54:17] WARNING [MYAPP:209] Found >observer_, not full scores
[18/Feb/2019 15:54:20] WARNING [MYAPP:253] Found 2000 to 1: A Space Felony, no time recorded
[18/Feb/2019 15:54:53] WARNING [MYAPP:209] Found 7 Billion Humans, not full scores
[18/Feb/2019 15:54:54] WARNING [MYAPP:253] Found 7 Deeds, no time recorded
[18/Feb/2019 15:55:03] WARNING [MYAPP:209] Found 8-Bit Bayonetta, not full scores
[18/Feb/2019 15:55:04] WARNING [MYAPP:253] Found A Bird Story, no time recorded
[18/Feb/2019 15:55:20] WARNING [MYAPP:209] Found A Healer Only Lives Twice, not full scores
[18/Feb/2019 15:55:22] WARNING [MYAPP:209] Found A Magical High School Girl, not full scores
[18/Feb/2019 15:55:22] WARNING [MYAPP:253] Found A Virus Named TOM, no time recorded
[18/Feb/2019 15:55:29] WARNING [MYAPP:209] Found A2Be - A Science Fiction Narrative, not full scores
[18/Feb/2019 15:55:30] WARNING [MYAPP:253] Found Abzu, no time recorded
[18/Feb/2019 15:55:33] WARNING [MYAPP:209] Found Acceleration of SUGURI 2, not full scores
[18/Feb/2019 15:55:34] WARNING [MYAPP:253] Found Acceptance, no time recorded
[18/Feb/2019 15:55:36] WARNING [MYAPP:253] Found AER Memories of Old, no time recorded
[18/Feb/2019 15:55:37] WARNING [MYAPP:253] Found Agatha Christie: and Then There Were None, no time recorded
[18/Feb/2019 15:55:43] WARNING [MYAPP:209] Found Alex Kidd in the Enchanted Castle, not full scores
[18/Feb/2019 15:55:49] WARNING [MYAPP:209] Found ALLTYNEX Second, not full scores
